Id,PC1,PC2,PC3,label
AGUA_M94_O1_0930,-44.6548545,-38.95689763,4.697444744,WATER
GLY70_M10_O1_1017,38.48072013,31.0296041,5.429468655,GLY70
GLY60_M12_O1_1013,-4.70612011,33.94659781,-1.496841293,GLY60
GLY70_M22_O1_1017,41.40053666,26.18906883,0.268364633,GLY70
GLY50_M51_O1_1010,-27.24895741,23.30944993,-4.595227609,GLY50
AGUA_M98_O1_0930,-43.21902764,-38.73755555,3.244837459,WATER
GLY10_M29_O1_0930,-44.71356377,-30.58558261,1.713533981,GLY10
GLY60_M30_O1_1014,-6.266786334,33.00242428,-1.384676529,GLY60
GLY70_M69_O1_1017,46.37783352,26.25890178,0.194944803,GLY70
GLY70_M90_O1_1018,36.63525808,31.24509581,5.500640957,GLY70
GLY10_M93_O1_1003,-33.30349629,-29.31891991,-5.289130043,GLY10
GLY30_M8_O1_1004,-39.43974264,-6.822228801,-6.989695627,GLY30
GLY70_M18_O1_1017,37.08075792,31.11499943,5.407817434,GLY70
GLY50_M72_O1_1013,-28.62832778,28.05695491,-2.87740545,GLY50
GLY40_M10_O1_1006,-34.69404702,9.684459915,-10.20785434,GLY40
GLY40_M100_O1_1007,-30.24506207,8.969257168,-13.52430393,GLY40
GLY70_M75_O1_1018,42.72853022,29.99105208,5.386604387,GLY70
GLY80_M70_O1_1025,82.88931661,15.54653395,2.491295408,GLY80
GLY70_M3_O1_1017,31.88507505,31.45935468,3.541116614,GLY70
GLY30_M1_O1_1004,-37.60453222,-4.916633449,-8.332336449,GLY30
AIRE_M94_O1_1021,171.0170159,-34.18770988,-4.045391197,AIR
GLY20_M33_O1_1003,-34.40965251,-16.50207045,-7.443954917,GLY20
GLY40_M50_O1_1007,-30.75912805,10.53227553,-11.45719349,GLY40
GLY20_M31_O1_0930,-46.61956882,-19.36590905,-0.969250024,GLY20
GLY70_M15_O1_1017,42.70965222,30.09516973,4.71071383,GLY70
GLY50_M32_O1_1010,-17.87265499,21.67051992,-9.269824213,GLY50
GLY20_M37_O1_1003,-43.78714294,-19.68588606,-2.435507707,GLY20
GLY10_M55_O1_0930,-55.76870552,-33.48020933,9.892446586,GLY10
GLY30_M43_O1_1004,-37.50955041,-5.99797346,-8.427004315,GLY30
GLY50_M58_O1_1010,-25.77488723,24.05716734,-4.799200257,GLY50
GLY80_M39_O1_1021,89.33100196,11.46795124,-0.500335594,GLY80
GLY80_M99_O1_1025,85.87092169,13.93524385,3.976070715,GLY80
GLY20_M10_O1_0930,-46.25224036,-18.91054355,0.034228823,GLY20
AGUA_M99_O1_0930,-41.19641681,-38.28806545,2.283931678,WATER
GLY50_M45_O1_1010,-26.31514748,23.86907841,-4.725251729,GLY50
GLY30_M27_O1_1004,-38.28004535,-6.065228459,-8.82325288,GLY30
