,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Label,Set
AIR_M10R1_O1_0712,3.0005830988055098,-14.577781769325714,4.473249608242613,-4.7009198147630915,4.007443566037741,-5.373607461205988,7.9115522749977725,AIR,TRAIN
AIR_M10R2_O1_0712,5.863891397186779,14.498485418583027,-3.1134045749499144,-1.59409942417642,7.9292734567678425,0.37677662683654206,7.313709417384013,AIR,TRAIN
AIR_M10R3_O1_0712,-8.614869270306173,13.920733258851556,5.568909784597169,-5.770160914760704,-1.1165149542276382,-2.273232031441764,7.2476388443780255,AIR,TRAIN
AIR_M10R4_O1_0712,-12.518425446868687,10.164461702778615,5.846607423918373,-0.7181279377365968,-5.135056725000434,-2.9787984916557413,7.535844995332908,AIR,TRAIN
AIR_M10R5_O1_0712,-12.32925310223834,10.442622685690644,6.009671946177731,-1.0873963462604397,-4.895197426260907,-2.9898797487270503,7.542904339641787,AIR,TRAIN
AIR_M11R0_O1_0712,1.4154374513219279,-15.23968489930438,4.60821113165954,-4.3582933049451436,5.594785110691751,-4.414531983323644,8.137784846343893,AIR,TRAIN
AIR_M11R2_O1_0712,-5.074405864832274,15.867399097483979,3.117153334938873,-7.555867458754784,2.2396708263736724,-1.567538814528007,7.379812186780647,AIR,TRAIN
AIR_M11R3_O1_0712,-15.891711841264133,-0.8208961834987133,-4.1057687093072905,6.046488112659498,-4.1834967520323305,0.4348788985635387,8.33875253187469,AIR,TRAIN
AIR_M11R4_O1_0712,-6.970704366233051,15.253322719931328,4.45593271026421,-7.070957285442953,0.5335486749553658,-1.7458855077530653,7.355102955998894,AIR,TRAIN
AIR_M11R5_O1_0712,-12.742339228473316,10.724674975875125,6.145351410223377,-0.892447311052749,-4.706536656257273,-2.8318951632306786,7.620571533905687,AIR,TRAIN
AIR_M12R0_O1_1212,-10.73394602604279,-11.84892162871948,-2.729812286404762,-0.6748778252934903,6.4849243906099465,6.172703595397351,8.069196197340828,AIR,TRAIN
AIR_M12R2_O1_1212,12.044071324754652,10.832289831502978,-2.880802672932026,4.505636667891008,5.480431781307876,2.7487192040249346,7.776756913561596,AIR,TRAIN
AIR_M12R3_O1_1212,-15.1081541545771,-4.684007923226038,-6.244732365795982,4.814416103392525,-1.253704144941505,3.304253320158189,8.392453931485136,AIR,TRAIN
AIR_M12R4_O1_1212,16.197901007036744,-0.18871911018789078,-0.2733676395555188,3.258049926202461,-5.814165260044553,4.193822556737882,8.702543157349124,AIR,TRAIN
AIR_M12R5_O1_1212,-11.573320364297118,-10.89368157637979,-3.9365018935424976,0.23299276394949445,5.604074511212144,6.395162227707414,8.224336725384125,AIR,TRAIN
AIR_M13R0_O1_1212,-2.2415639638644085,16.177306909647108,1.042881836538002,-7.347127191805831,4.586432466812984,-1.5879589199717963,7.394527558449102,AIR,TRAIN
AIR_M13R1_O1_1212,-9.394848150224234,-12.807779550170402,-1.1804169339982065,-1.3624091883301925,7.531446990009991,5.49642451879711,7.980242449084727,AIR,TRAIN
AIR_M13R2_O1_1212,-9.98402460514229,-12.26709011688783,-1.9336136546832672,-1.0669402377932349,7.1345384472070865,5.803502637009724,8.109733256947026,AIR,TRAIN
AIR_M13R3_O1_1212,11.36235722095503,11.51567520470329,-3.0949306442025413,3.7978352329406833,6.034625355414365,2.295956333733666,7.6535403987809065,AIR,TRAIN
AIR_M13R4_O1_1212,-13.096184770169417,10.062847226399319,5.894403517743575,0.05164518457225051,-5.113352344571552,-2.9711595081964353,7.60133920568087,AIR,TRAIN
AIR_M13R5_O1_1212,12.82141881126407,9.941878609846798,-2.7298742320798253,5.176022935711978,4.6327595505926125,3.2593686191977342,7.892847155177542,AIR,TRAIN
AIR_M14R0_O1_1212,3.1245412938800676,-14.866267453865255,4.45773681861943,-4.627860639400113,4.046668272349684,-5.5129020063195,8.131990381943744,AIR,TRAIN
AIR_M14R1_O1_1212,-12.314663538864034,-10.228005460973552,-4.737795736928337,0.7645084955706363,4.533861912722362,6.425427261040115,8.023843739433769,AIR,TRAIN
AIR_M14R4_O1_1212,7.328314398817984,14.229266727782374,-3.424935638948773,-0.22254108248002902,7.813631763440754,0.5308378874893296,7.521410982651632,AIR,TRAIN
AIR_M15R0_O1_1212,-0.8530708653095637,-15.20141396034808,4.413250138034357,-3.9358286457602873,7.151614763980748,-2.4712887218730306,7.81037086463722,AIR,TRAIN
AIR_M15R1_O1_1212,15.68640898123744,4.215866804066041,-0.859545968294629,5.682300015418619,-1.6422793666607782,5.018814946741068,8.24950691669018,AIR,TRAIN
AIR_M15R3_O1_1212,-6.765532461362222,-13.97867164581556,1.2528531054311187,-2.5578960084887252,8.520172992959607,3.4966244469111785,7.839994874276098,AIR,TRAIN
AIR_M15R5_O1_1212,-15.30179427449171,-3.561699627372533,-5.795217249199054,5.287041074382243,-2.2590354944256545,2.507097391544666,8.188168685121001,AIR,TRAIN
AIR_M16R1_O1_1212,15.853448218749781,-2.1907483389748577,-0.11344566496909235,1.6857014294037254,-7.065073163563613,2.9937773231146374,8.514956879529773,AIR,TRAIN
AIR_M16R2_O1_1212,-15.789996079404892,1.3325088223863075,-2.25387411021806,6.025306131881836,-5.237610013150297,-1.0573613754619438,7.94123220285709,AIR,TRAIN
AIR_M16R3_O1_1212,15.292122084924417,5.328711326306377,-1.1294853107637723,5.971965276900093,-0.377615914473643,4.9018237400220945,8.121653919267505,AIR,TRAIN
AIR_M16R4_O1_1212,-13.978079125519201,8.275984161483677,4.710524918515198,2.06034101921358,-5.783398487191743,-3.0656915699930196,7.487802493524313,AIR,TRAIN
AIR_M16R5_O1_1212,-7.678340413554109,14.712722408902884,5.010151386828186,-6.594106803725958,-0.250187712113975,-1.7452378751408957,7.184634529887995,AIR,TRAIN
AIR_M17R0_O1_1312,5.419970830431051,-13.948406371125397,3.952095698757293,-4.647291796333709,1.6857430905972972,-6.542332369802795,8.09023810235591,AIR,TRAIN
AIR_M17R1_O1_1312,12.164022461843853,10.466375637973163,-2.9281808949913395,4.755881491286475,5.3384672114126515,2.8686640358996227,7.584002551283839,AIR,TRAIN
